edad,ansiedad_durango,ansiedad_nacional,depresion_durango,depresion_nacional
18 a 29 años,26.8350952637,22.9477417448,18.1454157351,11.3180531768
30 a 44 años,18.0967251647,20.4534584048,10.3095437821,9.4772695002
45 a 59 años,27.6527126069,21.7095575023,10.8872854085,11.0924170646
60 a 74 años,21.3416458068,20.7228793392,12.9625256485,12.5932559126
75 años y más,13.9515883873,19.9641690396,9.6709226326,12.3805172988
